model,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,parameters
Logistic Regression,0.7333333333333333,0.75,0.7916666666666666,0.753968253968254,0.6952380952380952,{'C': 1.0}
Random Forest,0.8,0.75,0.8333333333333334,0.7777777777777777,0.7333333333333333,"{'n_estimators': 250, 'max_depth': None, 'min_samples_split': 4, 'class_weight': 'balanced'}"
XGBoost,0.8,0.75,0.8333333333333334,0.7777777777777777,0.7333333333333333,"{'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.05, 'subsample': 0.9, 'colsample_bytree': 0.9}"
